Country Name;2010
Arab World;
Caribbean small states;
East Asia & Pacific (all income levels);
East Asia & Pacific (developing only);
Euro area;
Europe & Central Asia (all income levels);
Europe & Central Asia (developing only);
European Union;
Heavily indebted poor countries (HIPC);
High income;
High income: nonOECD;
High income: OECD;
Latin America & Caribbean (all income levels);
Latin America & Caribbean (developing only);
Least developed countries: UN classification;
Low & middle income;
Low income;
Lower middle income;
Middle East & North Africa (all income levels);
Middle East & North Africa (developing only);
Middle income;
North America;
Not classified;
OECD members;
Other small states;
Pacific island small states;
Small states;
South Asia;
Sub-Saharan Africa (all income levels);
Sub-Saharan Africa (developing only);
Upper middle income;
World;
Afghanistan;
Albania;22868
Algeria;28440
American Samoa;
Andorra;583
Angola;119327
Antigua and Barbuda;496
Argentina;
Armenia;13443
Aruba;21
Australia;
Austria;
Azerbaijan;40292
Bahamas, The;
Bahrain;
Bangladesh;
Barbados;
Belarus;
Belgium;
Belize;
Benin;
Bermuda;
Bhutan;
Bolivia;
Bosnia and Herzegovina;13950
Botswana;
Brazil;
Brunei Darussalam;
Bulgaria;
Burkina Faso;
Burundi;
Cambodia;32466
Cameroon;
Canada;
Cape Verde;1771
Cayman Islands;
Central African Republic;63350
Chad;
Channel Islands;
Chile;
China;
Colombia;186580
Comoros;
Congo, Dem. Rep.;
Congo, Rep.;23744
Costa Rica;
Cote d'Ivoire;
Croatia;
Cuba;10
Curacao;
Cyprus;
Czech Republic;
Denmark;
Djibouti;
Dominica;
Dominican Republic;27662
Ecuador;
Egypt, Arab Rep.;
El Salvador;
Equatorial Guinea;21418
Eritrea;203030
Estonia;
Ethiopia;1022804
Faeroe Islands;
Fiji;
Finland;
France;
French Polynesia;
Gabon;
Gambia, The;44189
Georgia;
Germany;
Ghana;
Greece;
Greenland;
Grenada;
Guam;
Guatemala;4558
Guinea;131272
Guinea-Bissau;26440
Guyana;10723
Haiti;
Honduras;22819
Hong Kong SAR, China;
Hungary;
Iceland;
India;
Indonesia;
Iran, Islamic Rep.;
Iraq;
Ireland;
Isle of Man;
Israel;
Italy;
Jamaica;
Japan;
Jordan;
Kazakhstan;
Kenya;
Kiribati;
Korea, Dem. Rep.;
Korea, Rep.;
Kosovo;
Kuwait;
Kyrgyz Republic;9023
Lao PDR;
Latvia;
Lebanon;14572
Lesotho;52616
Liberia;
Libya;
Liechtenstein;
Lithuania;
Luxembourg;
Macao SAR, China;2687
Macedonia, FYR;
Madagascar;
Malawi;
Malaysia;
Maldives;
Mali;376803
Malta;
Marshall Islands;
Mauritania;72084
Mauritius;4581
Mexico;
Micronesia, Fed. Sts.;
Moldova;7708
Monaco;
Mongolia;
Montenegro;
Morocco;91481
Mozambique;123825
Myanmar;
Namibia;
Nepal;
Netherlands;
New Caledonia;
New Zealand;
Nicaragua;27075
Niger;478394
Nigeria;
Northern Mariana Islands;
Norway;
Oman;3087
Pakistan;1884170
Palau;
Panama;1785
Papua New Guinea;
Paraguay;
Peru;
Philippines;
Poland;
Portugal;
Puerto Rico;27782
Qatar;1874
Romania;
Russian Federation;
Rwanda;
Samoa;
San Marino;
Sao Tome and Principe;
Saudi Arabia;
Senegal;237706
Serbia;8034
Seychelles;
Sierra Leone;
Singapore;
Sint Maarten (Dutch part);
Slovak Republic;
Slovenia;
Solomon Islands;
Somalia;
South Africa;
South Sudan;
Spain;
Sri Lanka;
St. Kitts and Nevis;482
St. Lucia;1013
St. Martin (French part);
St. Vincent and the Grenadines;
Sudan;
Suriname;
Swaziland;14539
Sweden;
Switzerland;
Syrian Arab Republic;
Tajikistan;1756
Tanzania;359407
Thailand;
Timor-Leste;13848
Togo;
Tonga;
Trinidad and Tobago;
Tunisia;
Turkey;
Turkmenistan;
Turks and Caicos Islands;
Tuvalu;
Uganda;357196
Ukraine;73454
United Arab Emirates;
United Kingdom;
United States;
Uruguay;
Uzbekistan;
Vanuatu;
Venezuela, RB;91291
Vietnam;
Virgin Islands (U.S.);
West Bank and Gaza;23114
Yemen, Rep.;289600
Zambia;108160
Zimbabwe;
