Country Name;2011
Arab World;354836030
Caribbean small states;6919403
East Asia & Pacific (all income levels);2216003701
East Asia & Pacific (developing only);1974218593
Euro area;332990116
Europe & Central Asia (all income levels);894649080
Europe & Central Asia (developing only);407559523
European Union;503680116
Heavily indebted poor countries (HIPC);636376666
High income;1135003957
High income: nonOECD;95507932
High income: OECD;1039496025
Latin America & Caribbean (all income levels);595271833
Latin America & Caribbean (developing only);589018078
Least developed countries: UN classification;843773370
Low & middle income;5838734476
Low income;816810477
Lower middle income;2532825559
Middle East & North Africa (all income levels);389648588
Middle East & North Africa (developing only);336632660
Middle income;5021923999
North America;346139396
Not classified;
OECD members;1245198487
Other small states;19761155
Pacific island small states;2252582
Small states;28933140
South Asia;1656464573
Sub-Saharan Africa (all income levels);875561262
Sub-Saharan Africa (developing only);874841049
Upper middle income;2489098440
World;6973738433
Afghanistan;35320445
Albania;3215988
Algeria;35980193
American Samoa;69543
Andorra;86165
Angola;19618432
Antigua and Barbuda;89612
Argentina;40764561
Armenia;3100236
Aruba;108141
Australia;22620600
Austria;8419000
Azerbaijan;9168000
Bahamas, The;347176
Bahrain;1323535
Bangladesh;150493658
Barbados;273925
Belarus;9473000
Belgium;11008000
Belize;356600
Benin;9099922
Bermuda;64700
Bhutan;738267
Bolivia;10088108
Bosnia and Herzegovina;3752228
Botswana;2030738
Brazil;196655014
Brunei Darussalam;405938
Bulgaria;7476000
Burkina Faso;16967845
Burundi;8575172
Cambodia;14305183
Cameroon;20030362
Canada;34482779
Cape Verde;500585
Cayman Islands;56729
Central African Republic;4486837
Chad;11525496
Channel Islands;153876
Chile;17269525
China;1344130000
Colombia;46927125
Comoros;753943
Congo, Dem. Rep.;67757577
Congo, Rep.;4139748
Costa Rica;4726575
Cote d'Ivoire;20152894
Croatia;4407000
Cuba;11253665
Curacao;145619
Cyprus;1116564
Czech Republic;10546000
Denmark;5574000
Djibouti;905564
Dominica;67675
Dominican Republic;10056181
Ecuador;14666055
Egypt, Arab Rep.;82536770
El Salvador;6227491
Equatorial Guinea;720213
Eritrea;5415280
Estonia;1340000
Ethiopia;84734262
Faeroe Islands;48863
Fiji;868406
Finland;5387000
France;65436552
French Polynesia;273777
Gabon;1534262
Gambia, The;1776103
Georgia;4486000
Germany;81726000
Ghana;24965816
Greece;11304000
Greenland;56744
Grenada;104890
Guam;182111
Guatemala;14757316
Guinea;10221808
Guinea-Bissau;1547061
Guyana;756040
Haiti;10123787
Honduras;7754687
Hong Kong SAR, China;7071600
Hungary;9971000
Iceland;319000
India;1241491960
Indonesia;242325638
Iran, Islamic Rep.;74798599
Iraq;32961959
Ireland;4487000
Isle of Man;83327
Israel;7765700
Italy;60770000
Jamaica;2709300
Japan;127817277
Jordan;6181000
Kazakhstan;16558459
Kenya;41609728
Kiribati;101093
Korea, Dem. Rep.;24451285
Korea, Rep.;49779000
Kosovo;1794303
Kuwait;2818042
Kyrgyz Republic;5507000
Lao PDR;6288037
Latvia;2220000
Lebanon;4259405
Lesotho;2193843
Liberia;4128572
Libya;6422772
Liechtenstein;36304
Lithuania;3203000
Luxembourg;517000
Macao SAR, China;555731
Macedonia, FYR;2063893
Madagascar;21315135
Malawi;15380888
Malaysia;28859154
Maldives;320081
Mali;15839538
Malta;419000
Marshall Islands;54816
Mauritania;3541540
Mauritius;1286051
Mexico;114793341
Micronesia, Fed. Sts.;111542
Moldova;3559000
Monaco;35427
Mongolia;2800114
Montenegro;632261
Morocco;32272974
Mozambique;23929708
Myanmar;48336763
Namibia;2324004
Nepal;30485798
Netherlands;16696000
New Caledonia;249000
New Zealand;4405200
Nicaragua;5869859
Niger;16068994
Nigeria;162470737
Northern Mariana Islands;61174
Norway;4952000
Oman;2846145
Pakistan;176745364
Palau;20609
Panama;3571185
Papua New Guinea;7013829
Paraguay;6568290
Peru;29399817
Philippines;94852030
Poland;38216000
Portugal;10637000
Puerto Rico;3706690
Qatar;1870041
Romania;21390000
Russian Federation;141930000
Rwanda;10942950
Samoa;183874
San Marino;31735
Sao Tome and Principe;168526
Saudi Arabia;28082541
Senegal;12767556
Serbia;7261000
Seychelles;86000
Sierra Leone;5997486
Singapore;5183700
Sint Maarten (Dutch part);36609
Slovak Republic;5440000
Slovenia;2052000
Solomon Islands;552267
Somalia;9556873
South Africa;50586757
South Sudan;10314021
Spain;46235000
Sri Lanka;20869000
St. Kitts and Nevis;53051
St. Lucia;176000
St. Martin (French part);30615
St. Vincent and the Grenadines;109365
Sudan;34318385
Suriname;529419
Swaziland;1067773
Sweden;9453000
Switzerland;7907000
Syrian Arab Republic;20820311
Tajikistan;6976958
Tanzania;46218486
Thailand;69518555
Timor-Leste;1175880
Togo;6154813
Tonga;104509
Trinidad and Tobago;1346350
Tunisia;10673800
Turkey;73639596
Turkmenistan;5105301
Turks and Caicos Islands;39184
Tuvalu;9847
Uganda;34509205
Ukraine;45706100
United Arab Emirates;7890924
United Kingdom;62641000
United States;311591917
Uruguay;3368595
Uzbekistan;29341200
Vanuatu;245619
Venezuela, RB;29278000
Vietnam;87840000
Virgin Islands (U.S.);109666
West Bank and Gaza;4019433
Yemen, Rep.;24799880
Zambia;13474959
Zimbabwe;12754378
